rank,lemma,subtitle_count,band,n_forms_seen
559,čierny,7830,2,11
560,väčšina,7787,2,5
561,dávno,7750,2,4
562,odpoveď,7738,2,5
563,žiadať,7736,2,15
564,kancelária,7734,2,6
565,záznam,7716,2,8
566,sam,7658,2,1
567,odpovedať,7651,2,22
568,rovnako,7629,2,1
569,čoskoro,7573,2,1
570,smieť,7566,2,12
571,skutočnosť,7559,2,3
572,baviť,7546,2,18
573,milá,7523,2,4
574,kráľ,7520,2,5
575,zadok,7512,2,6
576,utiecť,7509,2,17
577,opýtať,7476,2,16
578,ukradnúť,7412,2,12
579,stop,7401,2,4
580,pomáhať,7393,2,14
581,biely,7351,2,12
582,chalan,7342,2,7
583,stretnutie,7341,2,6
584,madam,7303,2,1
585,oveľa,7295,2,1
586,kľúč,7274,2,7
587,skupina,7263,2,8
588,vzťah,7246,2,6
589,druh,7231,2,7
590,najprv,7195,2,1
591,aha,7193,2,3
592,pokúsiť,7184,2,15
593,starať,7180,2,19
594,šialený,7173,2,11
595,duch,7165,2,9
596,takmer,7143,2,1
597,stôl,7139,2,8
598,spoznať,7114,2,16
599,čau,7105,2,1
600,divný,7095,2,8
601,vnútro,7087,2,3
602,čistý,7082,2,14
603,nosiť,7062,2,18
604,liek,7057,2,7
605,vitaj,7054,2,2
606,situácia,7020,2,8
607,schopný,7018,2,9
608,opäť,7011,2,1
609,ľudský,7003,2,13
610,charlie,6987,2,1
611,nenávidieť,6969,2,10
612,vlas,6964,2,6
613,lietadlo,6960,2,9
614,nádherný,6956,2,10
615,káva,6930,2,5
616,jack,6917,2,1
617,vyhodiť,6902,2,15
618,podariť,6892,2,7
619,mozog,6879,2,6
620,bolesť,6873,2,6
621,cena,6853,2,6
622,zohnať,6842,2,13
623,väzenie,6840,2,5
624,šesť,6827,2,3
625,pohyb,6826,2,6
626,niekoľko,6785,2,2
627,budúcnosť,6773,2,3
628,obávať,6755,2,13
629,bolieť,6745,2,7
630,pravidlo,6734,2,8
631,hýbať,6728,2,18
632,vina,6695,2,8
633,budova,6692,2,7
634,jednoduchý,6683,2,12
635,objaviť,6658,2,15
636,chorý,6657,2,8
637,boj,6647,2,8
638,sľubovať,6646,2,8
639,vojak,6641,2,7
640,naspäť,6624,2,1
641,duša,6623,2,6
642,hovor,6617,2,4
643,list,6602,2,8
644,všimnúť,6602,2,17
645,zviera,6572,2,9
646,zaslúžiť,6555,2,17
647,učiť,6538,2,14
648,kamera,6529,2,9
649,hlas,6526,2,7
650,huba,6524,2,5
651,decko,6514,2,8
652,test,6508,2,8
653,drahá,6506,2,4
654,spomenúť,6482,2,17
655,stráviť,6476,2,12
656,chlape,6475,2,1
657,michaela,6469,2,3
658,párty,6463,2,1
659,krásny,6445,2,10
660,ospravedlniť,6442,2,10
661,začiatok,6441,2,3
662,vzdať,6431,2,21
663,dohoda,6426,2,6
664,prisahať,6410,2,10
665,dozvedieť,6405,2,17
666,sľúbiť,6336,2,9
667,chystať,6327,2,13
668,premýšľať,6317,2,14
669,nakoniec,6314,2,1
670,tušiť,6313,2,15
671,prach,6285,2,7
672,utekať,6282,2,16
673,tajomstvo,6273,2,8
674,ono,6271,2,1
675,kúsok,6257,2,8
676,strieľať,6245,2,16
677,cieľ,6230,2,7
678,ospravedlňovať,6227,2,9
679,kontrola,6218,2,5
680,všade,6209,2,1
681,obrovský,6206,2,11
682,služba,6203,2,9
683,bezpečie,6189,2,6
684,moment,6148,2,7
685,jasne,6142,2,2
686,zoznam,6133,2,5
687,skontrolovať,6124,2,12
688,miestnosť,6108,2,5
689,úloha,6094,2,8
690,idiot,6084,2,7
691,pridať,6065,2,16
692,york,6060,2,2
693,predať,6050,2,16
694,ľúbiť,6044,2,13
695,naposledy,6038,2,1
696,predpokladať,6034,2,14
697,um,6029,2,2
698,útok,6017,2,7
699,odkedy,6015,2,1
700,ah,5984,2,1
701,zaujímavý,5949,2,9
702,tešiť,5934,2,13
703,šaty,5925,2,5
704,kôň,5915,2,9
705,trápiť,5912,2,15
706,armáda,5905,2,6
707,hviezda,5904,2,9
708,položiť,5894,2,13
709,vyriešiť,5882,2,15
710,desať,5877,2,3
711,planéta,5867,2,7
712,hrozný,5861,2,11
713,zákon,5861,2,9
714,zábava,5852,2,5
715,baba,5851,2,7
716,súd,5847,2,5
717,obeť,5835,2,7
718,mýliť,5835,2,15
719,vysoký,5834,2,12
720,zbaviť,5823,2,14
721,často,5817,2,3
722,rozmýšľať,5799,2,17
723,uvedomiť,5797,2,15
724,dokončiť,5788,2,17
725,samý,5787,2,12
726,ťažko,5782,2,3
727,okno,5766,2,9
728,zavrieť,5766,2,12
729,krok,5764,2,7
730,odtiaľ,5754,2,1
731,prezident,5738,2,3
732,vinný,5738,2,14
733,svadba,5734,2,7
734,pol,5720,2,1
735,znášať,5711,2,14
736,nejako,5698,2,1
737,okamžite,5695,2,1
